date,chrome-version,chrome,firefox-version,firefox,safari-version,safari,interop
2026-02-21,145.0.7632.77,87.4,147.0.4,74.5,26.3 (21623.2.7.11.6),71.9,65.7
2026-02-28,146.0.7680.31,88.1,148.0,74.9,26.3 (21623.2.7.11.6),71.8,66.2
2026-03-07,146.0.7680.66,88.1,148.0,74.8,26.3 (21623.2.7.11.6),71.8,66.3
2026-03-14,146.0.7680.80,87.9,148.0.2,74.8,26.3 (21623.2.7.11.6),71.8,66.1
2026-03-29,147.0.7727.24,88.0,149.0,75.0,26.4 (21624.1.16.11.4),72.0,66.4
2026-04-05,147.0.7727.50,88.0,149.0,75.0,26.4 (21624.1.16.11.4),71.7,66.2
2026-04-12,147.0.7727.56,87.9,149.0.2,75.0,26.4 (21624.1.16.11.4),71.8,66.3
2026-04-19,147.0.7727.57,87.7,149.0.2,74.8,26.4 (21624.1.16.11.4),71.6,66.1
2026-04-26,148.0.7778.56,88.0,150.0,75.4,26.4 (21624.1.16.11.4),71.5,66.1
2026-05-03,148.0.7778.97,87.8,150.0.1,75.2,26.4 (21624.1.16.11.4),71.0,65.7
2026-05-12,148.0.7778.97,87.6,150.0.2,75.1,26.5 (21624.2.5.11.4),71.7,66.2
2026-05-19,148.0.7778.167,87.0,150.0.3,74.5,26.5 (21624.2.5.11.4),71.3,65.5
